"ID","CSys ID","X","Y","Z","2..Simcenter NASTRAN Case 1, 3..T2 Translation"
304,0,0.0931958,0.36,-0.001044,0.
305,0,0.0932009,0.364,-0.001044,0.
306,0,0.0932059,0.368,-0.001044,0.
307,0,0.093211,0.372,-0.001044,0.
308,0,0.0932161,0.376,-0.001044,0.
309,0,0.0932211,0.38,-0.001044,0.
310,0,0.0932262,0.384,-0.001044,0.
311,0,0.0932313,0.388,-0.001044,0.
312,0,0.0932364,0.392,-0.001044,0.
313,0,0.0932414,0.396,-0.001044,0.
314,0,0.0932465,0.4,-0.001044,0.
315,0,0.0932516,0.404,-0.001044,0.
316,0,0.0932566,0.408,-0.001044,0.
317,0,0.0932617,0.412,-0.001044,0.
318,0,0.0932668,0.416,-0.001043,0.
319,0,0.0932718,0.42,-0.001043,0.
320,0,0.0932769,0.424,-0.001043,0.
321,0,0.093282,0.428,-0.001043,0.
322,0,0.0932871,0.432,-0.001043,0.
323,0,0.0932921,0.436,-0.001043,0.
324,0,0.0932972,0.44,-0.001043,0.
325,0,0.0933023,0.444,-0.001043,0.
326,0,0.0933073,0.448,-0.001043,0.
327,0,0.0933124,0.452,-0.001043,0.
328,0,0.0933175,0.456,-0.001043,0.
329,0,0.0933225,0.46,-0.001043,0.
330,0,0.0933276,0.464,-0.001043,0.
331,0,0.0933327,0.468,-0.001043,0.
332,0,0.0933378,0.472,-0.001043,0.
333,0,0.0933428,0.476,-0.001043,0.
334,0,0.0933479,0.48,-0.001043,0.
335,0,0.093353,0.484,-0.001042,0.
336,0,0.093358,0.488,-0.001042,0.
337,0,0.0933631,0.492,-0.001042,0.
338,0,0.0933682,0.496,-0.001042,0.
339,0,0.0933732,0.5,-0.001042,0.
340,0,0.0933783,0.504,-0.001042,0.
341,0,0.0933834,0.508,-0.001042,0.
342,0,0.0933885,0.512,-0.001042,0.
343,0,0.0933935,0.516,-0.001042,0.
344,0,0.0933986,0.52,-0.001042,0.
345,0,0.0934037,0.524,-0.001042,0.
346,0,0.0934087,0.528,-0.001042,0.
347,0,0.0934138,0.532,-0.001042,0.
348,0,0.0934189,0.536,-0.001042,0.
349,0,0.0934239,0.54,-0.001042,0.
350,0,0.093429,0.544,-0.001042,0.
351,0,0.0934341,0.548,-0.001042,0.
352,0,0.0934392,0.552,-0.001041,0.
353,0,0.0934442,0.556,-0.001041,0.
354,0,0.0934493,0.56,-0.001041,0.
355,0,0.0934544,0.564,-0.001041,0.
356,0,0.0934594,0.568,-0.001041,0.
357,0,0.0934645,0.572,-0.001041,0.
358,0,0.0934696,0.576,-0.001041,0.
359,0,0.0934746,0.58,-0.001041,0.
360,0,0.0934797,0.584,-0.001041,0.
361,0,0.0934848,0.588,-0.001041,0.
362,0,0.0934899,0.592,-0.001041,0.
363,0,0.0934949,0.596,-0.001041,0.
364,0,0.0935,0.6,-0.001041,0.
365,0,0.0895203,0.6,-0.001823,0.
366,0,0.0855357,0.6,-0.002578,0.
367,0,0.0815456,0.6,-0.003302,0.
368,0,0.0775496,0.6,-0.003991,0.
369,0,0.073547,0.6,-0.004642,0.
370,0,0.0695376,0.6,-0.00525,0.
371,0,0.0655238,0.6,-0.005833,0.
372,0,0.0615063,0.6,-0.006393,0.
373,0,0.0574843,0.6,-0.006918,0.
374,0,0.0534573,0.6,-0.007399,0.
375,0,0.0494245,0.6,-0.007825,0.
376,0,0.045386,0.6,-0.008192,0.
377,0,0.0413441,0.6,-0.008515,0.
378,0,0.0372975,0.6,-0.008764,0.
379,0,0.0332451,0.6,-0.008925,0.
380,0,0.0291906,0.6,-0.009017,0.
381,0,0.025137,0.6,-0.008977,0.
382,0,0.0210864,0.6,-0.008772,0.
383,0,0.0170446,0.6,-0.008438,0.
384,0,0.0130233,0.6,-0.007924,0.
385,0,0.0090415,0.6,-0.007161,0.
386,0,0.0051697,0.6,-0.006001,0.
387,0,0.0015,0.6,-0.004277,0.
388,0,0.0014949,0.596,-0.004277,0.
389,0,0.0014899,0.592,-0.004277,0.
390,0,0.0014848,0.588,-0.004277,0.
391,0,0.0014797,0.584,-0.004278,0.
392,0,0.0014746,0.58,-0.004278,0.
393,0,0.0014696,0.576,-0.004278,0.
394,0,0.0014645,0.572,-0.004278,0.
395,0,0.0014594,0.568,-0.004278,0.
396,0,0.0014544,0.564,-0.004278,0.
397,0,0.0014493,0.56,-0.004278,0.
398,0,0.0014442,0.556,-0.004278,0.
399,0,0.0014392,0.552,-0.004278,0.
400,0,0.0014341,0.548,-0.004278,0.
401,0,0.001429,0.544,-0.004278,0.
402,0,0.0014239,0.54,-0.004278,0.
403,0,0.0014189,0.536,-0.004278,0.
404,0,0.0014138,0.532,-0.004278,0.
405,0,0.0014087,0.528,-0.004278,0.
406,0,0.0014037,0.524,-0.004278,0.
