"ID","CSys ID","X","Y","Z","1..Simcenter NASTRAN Case 1, 2..T1 Translation","1..Simcenter NASTRAN Case 1, 3..T2 Translation","1..Simcenter NASTRAN Case 1, 4..T3 Translation"
112,0,0.066,0.056,0.,-0.000338906,-0.000022612,0.0221927
113,0,0.066,0.052,0.,-0.000307816,-0.0000230805,0.0195429
114,0,0.066,0.048,0.,-0.000277683,-0.000020943,0.0169955
115,0,0.0619091,0.048,0.,-0.000294089,-0.0000435834,0.0143944
116,0,0.0578182,0.048,0.,-0.000308416,-0.0000569423,0.0122436
117,0,0.0537273,0.048,0.,-0.000320265,-0.0000603672,0.0104742
118,0,0.0496364,0.048,0.,-0.000328182,-0.0000562357,0.00897404
119,0,0.0455455,0.048,0.,-0.000332207,-0.0000476758,0.00764606
120,0,0.0414545,0.048,0.,-0.000332401,-0.0000372918,0.00639319
121,0,0.0373636,0.048,0.,-0.000328776,-0.0000276833,0.00511892
122,0,0.0332727,0.048,0.,-0.000321331,-0.0000215173,0.00372672
123,0,0.0291818,0.048,0.,-0.000310241,-0.0000213162,0.00212018
124,0,0.0250909,0.048,0.,-0.000296094,-0.0000296444,0.000197043
125,0,0.0250909,0.052,0.,-0.000310541,-0.000025508,0.000160147
126,0,0.0250909,0.056,0.,-0.000330333,-0.0000256744,0.000181756
127,0,0.0291818,0.052,0.,-0.000316685,-0.000018553,0.00233187
128,0,0.0291818,0.056,0.,-0.000326072,-0.0000180116,0.00262164
129,0,0.0332727,0.052,0.,-0.000320906,-0.0000194566,0.00421586
130,0,0.0332727,0.056,0.,-0.000323255,-0.000019241,0.00476444
131,0,0.0373636,0.052,0.,-0.000323768,-0.0000264776,0.00589159
132,0,0.0373636,0.056,0.,-0.000321555,-0.0000262939,0.00669829
133,0,0.0414545,0.052,0.,-0.00032535,-0.0000368761,0.00745166
134,0,0.0414545,0.056,0.,-0.000321117,-0.0000367024,0.00851641
135,0,0.0455455,0.052,0.,-0.000325667,-0.0000480502,0.00899072
136,0,0.0455455,0.056,0.,-0.000321956,-0.0000478664,0.0103135
137,0,0.0496364,0.052,0.,-0.000324727,-0.0000574077,0.0106035
138,0,0.0496364,0.056,0.,-0.000324081,-0.0000571812,0.0121843
139,0,0.0537273,0.052,0.,-0.000322566,-0.0000622962,0.0123839
140,0,0.0537273,0.056,0.,-0.000327517,-0.0000620924,0.0142229
141,0,0.0578182,0.052,0.,-0.000319118,-0.0000600479,0.0144222
142,0,0.0578182,0.056,0.,-0.000332203,-0.0000601047,0.0165199
143,0,0.0619091,0.052,0.,-0.000313344,-0.0000473545,0.0167852
144,0,0.0619091,0.056,0.,-0.000337675,-0.0000494312,0.0191542
145,0,0.0927547,0.06,0.0010324,-0.0013642,0.000974764,0.0490159
146,0,0.090943,0.06,0.0015475,-0.00183912,0.00132068,0.0473474
147,0,0.0884713,0.06,0.0020251,-0.00227788,0.00164199,0.0450723
148,0,0.0863726,0.06,0.0024194,-0.00263615,0.00172272,0.0431434
149,0,0.0836566,0.06,0.0029157,-0.00308389,0.00160873,0.0406551
150,0,0.0817435,0.06,0.0032563,-0.00338879,0.00140788,0.0389088
151,0,0.0768878,0.06,0.0040957,-0.00412296,0.000501323,0.0345118
152,0,0.0722288,0.06,0.0048461,-0.00475219,-0.00123178,0.030362
153,0,0.066,0.06,0.0058402,-0.00552854,-0.00407354,0.0249766
154,0,0.0626032,0.06,0.0062427,-0.00570443,-0.00404551,0.022267
155,0,0.0589591,0.06,0.0067309,-0.00593277,-0.00342011,0.0196598
156,0,0.0538281,0.06,0.0073374,-0.00620926,-0.00202082,0.0164027
157,0,0.0484017,0.06,0.0079219,-0.00651236,-0.000671232,0.0132909
158,0,0.0406055,0.06,0.0085275,-0.00683409,-0.000070284,0.00910584
159,0,0.0321594,0.06,0.008955,-0.00717839,0.000224022,0.00449242
160,0,0.0274985,0.06,0.0090312,-0.00733522,0.00046533,0.00167633
161,0,0.0237366,0.06,0.0089197,-0.00740117,0.000541312,-0.000847449
162,0,0.021,0.06,0.0087705,-0.00740689,0.000436671,-0.00286998
163,0,0.0169356,0.06,0.0084825,-0.00718227,0.000312894,-0.00601226
164,0,0.0147235,0.06,0.0082023,-0.00696455,0.00052103,-0.0077264
165,0,0.010165,0.06,0.0074072,-0.0063545,0.00128296,-0.0112827
166,0,0.0060064,0.06,0.0063118,-0.00550711,0.00188696,-0.0145799
167,0,0.0035666,0.06,0.0053819,-0.00477388,0.00193897,-0.016548
168,0,0.00081046,0.06,0.0042695,-0.00388488,0.00157769,-0.0188032
169,0,0.00085102,0.06,-0.004285,0.00314865,-0.00144245,-0.0187699
170,0,0.003876,0.06,-0.005501,0.00412086,-0.00103874,-0.0162978
171,0,0.0060232,0.06,-0.006335,0.00477983,-0.000657321,-0.0145667
172,0,0.0078113,0.06,-0.006886,0.00521036,-0.000375297,-0.0131401
173,0,0.0112559,0.06,-0.007624,0.00577393,-0.000117458,-0.0104253
174,0,0.0168253,0.06,-0.008414,0.00637908,-0.000242873,-0.0060994
175,0,0.021,0.06,-0.008771,0.00665789,-0.000541941,-0.00287337
176,0,0.0261895,0.06,-0.009011,0.00658952,-0.000619368,0.000798402
177,0,0.0298833,0.06,-0.009013,0.00647512,-0.000348911,0.00308669
178,0,0.0358947,0.06,-0.008827,0.00627736,0.000262406,0.00648118
179,0,0.0403149,0.06,-0.008582,0.0061008,0.000580988,0.0088549
180,0,0.0463609,0.06,-0.008106,0.00580459,0.000862425,0.012038
181,0,0.0507418,0.06,-0.007679,0.00560794,0.00114082,0.0144312
182,0,0.0567684,0.06,-0.006999,0.00533475,0.00193329,0.0180987
183,0,0.0605457,0.06,-0.006524,0.005104,0.00281751,0.0207078
184,0,0.066,0.06,-0.00584,0.00474783,0.00400271,0.0249774
185,0,0.0692809,0.06,-0.005287,0.00430614,0.00308688,0.0277971
186,0,0.0736826,0.06,-0.004619,0.00375283,0.00161826,0.0316594
